product_id,product_name
107371,Кресло Мона
107375,Матрас Sleeper 140x200
107376,Матрас Sleeper 160x200
107377,Матрас Sleeper 180x200
107474,Диван Монти 160
107545,Диван Лисмос Grafit
107549,Диван Лисмос
107571,Журнальный стол Энди-2
107586,Обувница Гринвич
107587,Прихожая Гринвич
107599,Диван Ровуд
107696,Диван Ровуд Sherst Blue
107697,Диван Ровуд Sherst Grafit
107698,Диван Ровуд Velvet Black
107699,Диван Ровуд Sherst Grey
107700,Диван Ровуд Sherst Light
107734,Кушетка Балтик Textile Beige
107735,Кушетка Балтик Textile Blue
107736,Кушетка Балтик Textile Grey
107737,Кушетка Балтик Textile Lime
107739,Кушетка Балтик Textile Sky
107743,Кушетка Балтик
107920,Топпер Cocos 140x200
107921,Топпер Cocos 160x200
107923,Топпер Cocos 200x200
107927,Топпер Latex 140x200
107928,Топпер Latex 160x200
107932,Топпер Memory 90x200
107935,Топпер Memory 160x200
108013,Диван угловой Лофт
108015,Диван угловой Лофт Velvet Latte
108018,Диван угловой Лофт Velvet Grafit
108019,Диван угловой Лофт Navy Blue
108020,Диван Миннесота Textile Beige
108021,Диван Миннесота Textile Grey
108022,Диван Миннесота Textile Blue
108023,Диван Миннесота Textile Latte
108024,Диван Миннесота Textile Lime
108026,Диван Орнен Grafit
108161,Кресло-мешок Австралия Dusty Pink
108163,Кресло-мешок Австралия Velvet Blue
108166,Кресло-мешок Австралия Navy Blue
108167,Кресло-мешок Австралия Velvet Red
108248,Стул Шерил Velvet Green
108250,Стул Брайан Zamsha Beige
108253,Стул Хортен Velvet Sky
108260,Офисное кресло Морис Zamsha Pink
108261,Офисное кресло Морис Zamsha Blue
108262,Офисное кресло Морис Grey
108263,Офисное кресло Мелвин Zamsha Blue
108264,Офисное кресло Мелвин Zamsha Oliva
108265,Офисное кресло Мелвин Print
108266,Офисное кресло Элмер Yellow
108267,Офисное кресло Элмер Lime
108268,Офисное кресло Артис Sapphire
108272,Ковер Antre-Grey 160x230
108279,Ковер Time-Matrix 160x230
108280,Ковер Time-Matrix 200x290
108289,Кровать Динс 140
108290,Кровать Динс 180
108314,Стул Колумбия Velvet Yellow
108391,Диван Ситено Barhat Emerald
108392,Диван Ситено Barhat Amber
108450,Кухонный стол Марли-90 White
108694,Кушетка Норфолк Ocean
108697,Кресло-мешок Рокси L Splash
108698,Кресло-мешок Рокси L Blur
108699,Кресло-мешок Рокси L Hatch
108703,Кресло-мешок Рокси L Disc
108705,Кресло-мешок Рокси L Art
108712,Диван Эвора 117/1
108779,Журнальный стол Медли-1 Sky
108780,Журнальный стол Медли-2 Pink
108781,Журнальный стол Медли-2 Sky
108782,Журнальный стол Медли-1 Yellow
108783,Журнальный стол Медли-2 Grey
108784,Журнальный стол Медли-2 White
108785,Журнальный стол Медли-1 Pink
108786,Журнальный стол Медли-2 Blue
108787,Журнальный стол Медли-1 Blue
108788,Журнальный стол Медли-1 White
108789,Журнальный стол Медли-2 Yellow
108790,Журнальный стол Медли-1 Grey
108792,Кушетка Норфолк Barhat Grey
108842,Ковер Jolly 160x230
108848,Ковер Сasual-Riverside 160x230
108854,Ковер Venezia-Grande 160x230
108860,Ковер Chillout 160x230
108861,Ковер Chillout-Sulphur 160x230
108863,Ковер Capri 160x230
108865,Ковер Storia 160x230
109201,Кровать Виллоу 180 Light Beige
109202,Кровать Виллоу 160 Light Beige
109218,Диван Осхен Navy Blue
109219,Диван Осхен Textile Grafit
109220,Диван Осхен Textile Green
109221,Диван Осхен Textile Grey
109222,Диван Осхен Textile Latte
109224,Кровать Шерона 140
109225,Кровать Слипсон 180
109226,Кровать Слипсон 140
109234,Кресло-мешок Роуз L Velvet Yellow
109235,Кресло-мешок Роуз L Velvet Orange
